gameNo,gameName,gameMinPlayer,gameMaxPlayer,gameMinTime,gameMaxTime,gameYear,gameTotalScore,gameImg,gameAge,gameCategory,gameWeight,gameDesc
0,Clue,2,6,45,45,1949,5.7,https://cf.geekdo-images.com/owlmDA10KegcwPaapY5auw__itemrep/img/l389R4AqZbn89WSROMFpvBb11fo=/fit-in/246x300/filters:strip_icc()/pic5146918.png,8,Movies / TV / Radio theme|Murder/Mystery|,1.66,"For versions of Clue that feature the new character Dr. Orchid, please use this Clue page.
The classic detective game!  In Clue, players move from room to room in a mansion to solve the mystery of: who done it, with what, and where?  Players are dealt character, weapon, and location cards after the top card from each card type is secretly placed in the confidential file in the middle of the board.  Players must move to a room and then make an accusation against a character saying they did it in that room with a specific weapon.  The player to the left must show one of any cards accused to the accuser if in that player's hand.  Through deductive reasoning each player must figure out which character, weapon, and location are in the secret file.  To do this, each player must uncover what cards are in other players hands by making more and more accusations.  Once a player knows what cards the other players are holding, they will know what cards are in the secret file.  A great game for those who enjoy reasoning and thinking things out.
Note: There are some early versions of Clue which are labeled as 2-6 players."
1,Go-Stop,2,5,60,60,1889,6.6,https://cf.geekdo-images.com/rfwR5MU0raNX2IKEFdfhqQ__itemrep/img/_up83nMX88Td9j0tlul7bZZ78BY=/fit-in/246x300/filters:strip_icc()/pic956328.jpg,8,Card Game|,2.25,"GO STOP, also called Korean Poker, is a fast-paced card game played with beautifully illustrated Flower Cards named Hwatu (화투, 花闘).
Each hand takes less than ten minutes to play. Players are trying to collect sets of flower cards worth varying numbers of points.
GO STOP is advanced version of Japanese Koi-Koi.
Re-implements:

Hanafuda"
2,Blue Marble,2,4,90,90,1982,4.5,https://cf.geekdo-images.com/e0qe3sXkyHom5otAvaiE8g__itemrep/img/13F7OHW64LhyOnlhG-BN969i9a4=/fit-in/246x300/filters:strip_icc()/pic594969.jpg,8,nan,1.44,"A Korean knock-off of Monopoly. Instead of buying ""streets,"" you're buying ""cities"" (Seoul replaces Boardwalk). If you visit your own city, you can build various buildings. Community Chest and Chance cards are conflated into one ""Key"" cards that give you either some sort of bonus or penalty.
Other than that, it's pretty much identical to Monopoly: roll, move, buy land, or pay rent if someone already owns it. The player with the most money wins."
3,da Vinci Castle,3,6,10,20,2014,0.0,https://cf.geekdo-images.com/wosiLfvRUjiMB42xwBXGVw__itemrep/img/b1_qPP1-w14v1yOANVzGXUyvTas=/fit-in/246x300/filters:strip_icc()/pic4745414.jpg,8,Memory|,0.0,"This is a family game to test your memory. Can you find the secret code hidden in the castle?
In da Vinci Castle, you play the game on the assumption that Leonardo da Vinci has built six castles. He has a  hidden a different secret code  in each castle, and if you decrypt it, you can destroy it. Maybe it's a genius' eccentricity to hide these deadly weaknesses in the castle that he built.
Each player receives a piece with a color and a piece with a number, creating a castle with a secret password. And when it's your turn, you either ask questions or attack.
You can ask questions only to the player on your left. Choose a color and a number and say, ""Do you have red or four?"" If the player who was asked has either, they say yes, if they have neither, then the player goes on to say no. Ask questions to get a clue to what the other player's secret password is.
Once you are sure what the other player's secret password is, you can attack your opponent and destroy their castle. However, if you attack your opponent's castle with the wrong secret code, you must be careful because your castle will collapse and you will be eliminated from the game.
—description from the publisher"
4,Don't Rock the Boat,2,4,3,3,2012,4.9,https://cf.geekdo-images.com/q8Ju798wcy9C0kd3v2VN_w__itemrep/img/MDXY5QguDnPAhat57LY100GcsCo=/fit-in/246x300/filters:strip_icc()/pic1393387.jpg,5,Action / Dexterity|Children's Game|Nautical|Pirates|,1.14,"A 3D boat and 2-piece water wave are assembled, and 16 pirate penguins are divided according to the number of players. The object is to balance your pirate penguins on the boat without making it tip. Players take it in turns to place their penguins standing up on the boat, wherever they wish. As soon as the boat rocks and one or more penguins fall over the game, or round, ends. The last player before the player who rocked the boat is the winner.
Recommended ages: 5-15 years"
5,Gauner raus!,2,4,30,60,2016,6.7,https://cf.geekdo-images.com/JvT0EB60dOZwbtNwJS7oeg__itemrep/img/NT6anxcb-UBTqS3O1daUn29mb8I=/fit-in/246x300/filters:strip_icc()/pic2975855.jpg,10,Card Game|Deduction|,2.75,"Time to get the crooks out! First you need to zero in on them, then they'll be over and done.
In Gauner raus! you get to learn more about the possible hideouts of the opponents' crooks round by round, but each player needs to discover for themself where exactly those crooks are hiding. Play cleverly and make the right guesses to become a master detective!"
6,Sorry!,2,4,30,30,2016,4.9,https://cf.geekdo-images.com/seSULuJ9UErfJ7lTJbdusQ__itemrep/img/wtg1Diz2NzUip5n15BSyEJggVx8=/fit-in/246x300/filters:strip_icc()/pic5500297.jpg,6,Children's Game|,1.0,"3 pawn version of Sorry! with rules that allow moving out of home with cards other than 1 and 2. Identical to 2013 Fire & Ice version, but with those aspects removed."
7,Twister,2,4,10,10,1966,4.5,https://cf.geekdo-images.com/q-24XBqu2o3KGnaGzNVnuA__itemrep/img/veCEPHf1FOKfXHqWb6WOUNMbfC0=/fit-in/246x300/filters:strip_icc()/pic6684003.jpg,6,Action / Dexterity|Children's Game|Party Game|,1.09,"A large vinyl playing mat is placed on the floor, with a 6 x 4 array of spots, each spot about 6 inches in diameter. The spots are colored red, blue, yellow, and green. A player is chosen to moderate, and the rest of the players, up to 4, stand on the play mat with their feet on different spots.
Each turn consists of the moderator spinning a spinner, which gives a result matching a random color with a random element from the set (left hand, right hand, left foot, right foot). Each player must put the relevant bodypart on the relevant color spot. If the bodypart is already on a spot of that color it is moved to another spot of the same color. No two players bodyparts can share the same spot. If a player falls or touches an elbow or knee to the ground they are eliminated.
Iterate until one player remains.
This classic party game became an overnight hit when on May 3, 1966 when Johnny Carson played it during the Tonight Show with Eva Gabor (see: http://www.boardgamegeek.com/image/104221)."
8,Da Vinci Code,2,4,15,15,2002,6.1,https://cf.geekdo-images.com/o7j9AgTLZu-bcGU1hRDTQA__itemrep/img/qS8-atJax_aaYMzWcXxh7GbHbxI=/fit-in/246x300/filters:strip_icc()/pic4979576.jpg,8,Deduction|,1.49,"From the box:
Conceal your secret code, outguess your opponent, deduce the solution, amaze your foes.  In the game of CODA players try to crack each other's ""code"" - a sequence of secret numbers.  Guess an opponent's secret number and it is revealed (by knocking it down).  Guess incorrectly and you must reveal one of your own secret numbers!  On each turn, a new number enters play, which helps you to narrow the possibilities and grow your own code.  Common sense, intuition and your ""detective"" skills will guide you to success.
From me:
There are two sets of tiles (similar to Stratego pieces without the soldiers) numbered 0-11.  One set is black, one is white.  In four player game, everyone one grabs three random pieces and arranges them in numeric order, with white pieces going to the right on ties.  In order a player grabs one of the remaining tiles and guesses on of the opponents pieces.  If correct, that piece is revealed. If the player is incorrect the piece that was just drawn is placed in the correct place in his own sequence and revealed.  If the player was correct in guessing he MAY make another guess.  If he chooses not to then he places the picked piece in his code, in sequence, but does not reveal it.
Play continues until only one person has a piece standing.  When the new tiles run out, just keep going without drawing tiles.
Belongs to a series / trilogy, containing:

Bernini Mysterie
Coda
Salomon's Dilemma"
9,Fantastic Factories,1,5,45,60,2019,7.5,https://cf.geekdo-images.com/AzNYQ2o-SXBAHFpPPtRBIw__itemrep/img/1v2-bhTfhTxnV3I2SYGTQT4v3B4=/fit-in/246x300/filters:strip_icc()/pic4095959.png,14,Card Game|Dice|Industry / Manufacturing|,2.17,"It's a manufacturing arms race! Compete against other players as you try to build the most efficient set of factories in the shortest time. You must carefully manage your blueprints, train your workers, and manufacture as many goods as possible in order to achieve industrial dominance!
In Fantastic Factories, you race to manufacture the most goods or build the most prestigious buildings. There are elements of dice rolling, worker placement, engine building, resource management, tableau building, simultaneous play, and some card drafting. Each round is split into two phases, the market phase and the work phase.
During the market phase, you choose to either acquire a new blueprint for free or pay to hire a contractor. Blueprints are used to construct new factories during the work phase. Contractors can be used to reinforce your strategy by providing resources or allowing you to roll additional dice. You need to be mindful of what cards are available in the marketplace and the strategies your opponents may be pursuing.
During the work phase, all players simultaneously roll their dice and use their dice as workers to run factories. Factories start as blueprints and need to be constructed. Once constructed, each factory can be used once each turn. Worker placement can happen in any order and figuring out the correct sequence can enable a powerful chain of actions. Additionally, you can build training facilities that allow you to manipulate the dice values of your workers. Each work phase is like solving a unique worker placement puzzle in order to optimize your output of resources and goods.
Once any player has manufactured 12 goods or constructed 10 buildings, the game end is triggered and one additional and final round is played. The player with the most points wins (combination of building prestige and manufactured goods). With over 30 unique blueprints and countless synergies across buildings, each game is unique. Fantastic Factories offers a lot of replay value and satisfaction as players discover new factory engines with each game.
—description from the publisher
A large collection of solo puzzles have also been created for Fantastic Factories along with official tools to create more. This puzzle collection can be found in the BGG Play-By-Forum area."
